# q      i          sigma
0.124917 64.112245 0.223814
0.125423 63.679256 0.220707
0.125930 62.620280 0.225292
0.126437 62.181231 0.198530
0.126944 61.109896 0.208698
0.127450 60.874359 0.198637
0.127957 60.498997 0.211739
0.128464 59.894064 0.209629
0.128970 59.562064 0.250917
0.129477 58.707517 0.256594
0.129984 58.409550 0.861427
0.130491 57.608980 0.325988
0.130997 56.923551 0.208697
0.131504 56.189926 0.197401
0.132011 55.353302 0.194557
0.132518 55.077367 0.187096
0.133024 54.786748 0.188339
0.133531 54.183920 0.182840
0.134038 53.917791 0.189440
0.134545 53.259146 0.197456
0.135051 52.790355 0.187349
0.135558 52.210496 0.353932
0.136065 51.707195 0.194709
0.136571 51.019501 0.341660
0.137078 50.461710 0.197219
0.137585 49.843266 0.189914
0.138092 49.151460 0.188510
0.138598 48.753962 0.189290
0.139105 48.103227 0.185205
0.139612 48.021361 0.182172
0.140119 47.339826 0.184113
0.140625 46.961209 0.196234
0.141132 46.259836 0.232148
0.141639 45.441651 0.258583
0.142145 45.528337 0.453194
0.142652 44.588632 0.779555
0.143159 44.194523 0.404248
0.143666 44.221813 0.333708
0.144172 42.825558 0.188237
0.144679 42.743970 0.184926
0.145186 42.240798 0.167684
0.145692 41.830118 0.182941
0.146199 41.638426 0.175392
0.146706 41.035127 0.376305
0.147213 40.727646 0.403821
0.147719 39.972264 0.194419
0.148226 39.824826 0.423483
0.148733 39.047626 0.196532
0.149240 38.922622 0.174942
0.149746 38.061314 0.181370
0.150253 38.018023 0.175475
0.150760 37.438052 0.173577
0.151266 37.052846 0.172020
0.151773 36.979485 0.177364
0.152280 36.043100 0.169712
0.152787 35.983953 0.187165
0.153293 35.296170 0.174945
0.153800 34.845436 0.169694
0.154307 34.767154 0.170470
0.154813 34.307978 0.171559
0.155320 33.677756 0.167250
0.155827 33.437439 0.167749
0.156334 32.761853 0.172531
0.156840 32.325441 0.166376
0.157347 32.149872 0.170464
0.157854 31.642056 0.155326
0.158360 31.304111 0.166742
0.158867 31.049263 0.170977
0.159374 31.023579 0.155485
0.159881 30.346181 0.176916
0.160387 29.973098 0.161155
0.160894 29.357060 0.181163
0.161401 29.388892 0.172113
0.161907 28.857293 0.163915
0.162414 28.354196 0.326055
0.162921 27.971897 0.167307
0.163427 27.866010 0.199970
0.163934 27.339713 0.165895
0.164441 27.464291 0.144687
0.164948 26.944656 0.164601
0.165454 26.493944 0.159005
0.165961 26.031754 0.169533
0.166468 25.932418 0.160398
0.166974 25.541674 0.426895
0.167481 25.283081 0.162003
0.167988 25.132092 0.485750
0.168495 24.814870 0.164862
0.169001 24.240565 0.168763
0.169508 23.911289 0.152503
0.170015 23.544460 0.150922
0.170521 23.344001 0.164862
0.171028 23.148732 0.181240
0.171535 22.357206 0.161369
0.172041 22.299446 0.160776
0.172548 22.103016 0.156515
0.173055 21.667284 0.151561
0.173562 21.590132 0.157994
0.174068 21.472093 0.149053
0.174575 21.005935 0.151712
0.175082 20.488328 0.162916
0.175588 20.173122 0.150787
0.176095 20.185628 0.149561
0.176602 19.747941 0.151451
0.177108 19.682681 0.154453
0.177615 19.609257 0.153877
0.178122 19.232615 0.148632
0.178629 19.117760 0.156925
0.179135 18.826542 0.145183
0.179642 18.788670 0.156557
0.180149 18.297138 0.149578
0.180655 17.933735 0.146961
0.181162 17.668454 0.154764
0.181669 17.237473 0.150888
0.182175 17.350909 0.152888
0.182682 16.896470 0.157983
0.183189 16.761386 0.148131
0.183695 16.609256 0.221786
0.184202 16.291430 0.142512
0.184709 16.058769 0.232038
0.185216 16.003584 0.147986
0.185722 15.554346 0.142165
0.186229 15.640311 0.143178
0.186736 15.516126 0.142184
0.187242 15.077337 0.137025
0.187749 14.695493 0.199175
0.188256 14.497003 0.287671
0.188762 14.470958 0.188770
0.189269 14.421298 0.257608
0.189776 14.325391 0.287634
0.190282 14.014380 0.139760
0.190789 13.638324 0.295028
